#graph_name          	     nodes	     edges	 treewidth
Aarnet               	        19	        24	         2
Abilene              	        11	        14	         2
Abvt                 	        23	        31	         3
Aconet               	        23	        31	         2
Agis                 	        25	        30	         3
Ai3                  	        10	         9	         1
Airtel               	        16	        26	         3
Amres                	        25	        24	         1
Ans                  	        18	        25	         3
Arn                  	        30	        29	         1
Arnes                	        34	        46	         3
Arpanet196912        	         4	         4	         2
Arpanet19706         	         9	        10	         2
Arpanet19719         	        18	        22	         2
Arpanet19723         	        25	        28	         2
Arpanet19728         	        29	        32	         3
AsnetAm              	        65	        77	         2
Atmnet               	        21	        22	         2
AttMpls              	        25	        56	         5
Azrena               	        22	        21	         1
Bandcon              	        22	        28	         2
Basnet               	         7	         6	         1
Bbnplanet            	        27	        28	         2
Bellcanada           	        48	        64	         3
Bellsouth            	        51	        66	         2
Belnet2003           	        23	        39	         3
Belnet2004           	        23	        39	         3
Belnet2005           	        23	        41	         3
Belnet2006           	        23	        41	         3
Belnet2007           	        21	        24	         2
Belnet2008           	        21	        24	         2
Belnet2009           	        21	        24	         2
Belnet2010           	        22	        25	         2
BeyondTheNetwork     	        53	        65	         3
Bics                 	        33	        48	         3
Biznet               	        29	        33	         2
Bren                 	        37	        38	         2
BsonetEurope         	        18	        23	         2
BtAsiaPac            	        20	        31	         3
BtEurope             	        24	        37	         3
BtLatinAmerica       	        51	        50	         2
BtNorthAmerica       	        36	        76	         5
Canerie              	        32	        41	         2
Carnet               	        44	        43	         1
Cernet               	        41	        58	         3
Cesnet1993           	        10	         9	         1
Cesnet1997           	        13	        12	         1
Cesnet1999           	        13	        12	         1
Cesnet2001           	        23	        23	         2
Cesnet200304         	        29	        33	         2
Cesnet200511         	        39	        44	         2
Cesnet200603         	        39	        44	         2
Cesnet200706         	        44	        51	         2
Cesnet201006         	        52	        63	         3
Chinanet             	        42	        66	         5
Claranet             	        15	        18	         2
Cogentco             	       197	       243	         4
Colt                 	       153	       177	         3
Columbus             	        70	        85	         3
Compuserve           	        14	        17	         3
CrlNetworkServices   	        33	        38	         3
Cudi                 	        51	        52	         2
Cwix                 	        36	        41	         3
Cynet                	        30	        29	         1
Darkstrand           	        28	        31	         2
Dataxchange          	         6	        11	         4
Deltacom             	       113	       161	         4
DeutscheTelekom      	        39	        62	         4
Dfn                  	        58	        87	         3
DialtelecomCz        	       193	       151	         3
Digex                	        31	        35	         2
